YYMM|CC-CODE|CC-DESC|RCODE-CODE|RCODE-DESC|CCAATT-CODE|CCAATT-DESC|CCAATTMM-CODE|CCAATTMM-DESC|MALE|FEMALE|TOTAL|HOUSE|
6012|42|จังหวัดเลย |0| |0| |0| |322,592|319,074|641,666|216,661|
6012|43|จังหวัดหนองคาย |0| |0| |0| |259,983|261,903|521,886|170,431|
6012|44|จังหวัดมหาสารคาม |0| |0| |0| |472,797|490,275|963,072|291,289|
6012|45|จังหวัดร้อยเอ็ด |0| |0| |0| |651,348|656,563|1,307,911|377,827|
6012|46|จังหวัดกาฬสินธุ์ |0| |0| |0| |489,770|496,235|986,005|296,981|
6012|47|จังหวัดสกลนคร |0| |0| |0| |573,346|576,126|1,149,472|366,376|
6012|48|จังหวัดนครพนม |0| |0| |0| |358,311|359,717|718,028|220,693|
6012|49|จังหวัดมุกดาหาร |0| |0| |0| |175,649|175,133|350,782|111,842|
6012|50|จังหวัดเชียงใหม่ |0| |0| |0| |847,521|899,319|1,746,840|785,999|
6012|51|จังหวัดลำพูน |0| |0| |0| |196,184|209,734|405,918|175,086|
6012|52|จังหวัดลำปาง |0| |0| |0| |365,389|381,158|746,547|288,471|
6012|53|จังหวัดอุตรดิตถ์ |0| |0| |0| |224,150|232,942|457,092|167,559|
6012|54|จังหวัดแพร่ |0| |0| |0| |216,655|230,909|447,564|174,357|
6012|55|จังหวัดน่าน |0| |0| |0| |241,149|238,689|479,838|164,440|
6012|56|จังหวัดพะเยา |0| |0| |0| |233,093|244,007|477,100|188,120|
6012|57|จังหวัดเชียงราย |0| |0| |0| |628,897|658,718|1,287,615|530,975|
6012|58|จังหวัดแม่ฮ่องสอน |0| |0| |0| |142,213|136,875|279,088|107,648|
6012|60|จังหวัดนครสวรรค์ |0| |0| |0| |520,575|544,759|1,065,334|405,855|
6012|61|จังหวัดอุทัยธานี |0| |0| |0| |161,758|168,184|329,942|121,178|
6012|62|จังหวัดกำแพงเพชร |0| |0| |0| |361,558|367,575|729,133|268,327|
6012|63|จังหวัดตาก |0| |0| |0| |326,474|317,793|644,267|212,935|
6012|64|จังหวัดสุโขทัย |0| |0| |0| |291,620|307,699|599,319|213,584|
6012|65|จังหวัดพิษณุโลก |0| |0| |0| |423,986|441,382|865,368|337,644|
6012|66|จังหวัดพิจิตร |0| |0| |0| |265,030|276,838|541,868|191,782|
